fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
8/6k1/1pr4p/pNp2p2/2b2P2/P1N1P2P/8/4K2R w - - 0 31,vssf_2700,90,1.052,0.0,1.9,-0.07,quiet,1,0,0,0,
5k2/1p1r1pp1/2p5/7N/PpP4P/1n2PPP1/1Pb1B2R/4K3 b - - 2 29,vssf_2700,85,2.661,0.0,1.18,-1.09,ks,3,1,0,0,
5r1k/6p1/7p/4P3/3P1n1P/PQP2pPq/1R3Pb1/4R1K1 w - - 1 46,vssf_2400,42,-0.771,-4.68,-3.62,-11.76,ks,4,1,0,0,
3r3k/pp1P2p1/q1P1Brnp/4p3/4Qp1P/P2R1N2/5PP1/2R3K1 b - - 0 33,vssf_2700,26,4.641,0.0,8.96,-0.01,quiet,0,1,0,0,
4r1k1/p1q2pp1/2n4p/2Pp4/N1b3Pb/P2p3P/1Q3PB1/2B2NK1 w - - 2 26,vssf_2700,37,-4.688,0.0,-6.33,-0.85,quiet,2,1,0,0,
2r1r1k1/1p1bqpp1/8/p1pn2p1/Pb1P4/1Q1BP2P/1P1N1P2/2R1K1R1 w - - 0 22,vssf_2400,16,-2.359,0.0,-8.23,-2.96,quiet,1,1,0,0,
r1bq1rk1/ppp1bppp/3ppn2/3P4/2P2B2/P4PP1/1P2BP1P/RN1QK2R b KQ - 2 9,vssf_2700,10,-0.189,0.0,-1.55,-0.23,quiet,0,0,0,0,
r1bqk2r/ppp1bppp/3p1n2/3P4/n1P1p3/4P2P/PPQ2PP1/R1B1KBNR w KQkq - 0 9,vssf_2700,5,-3.259,0.0,-3.23,0.3,quiet,0,0,0,0,
1rb1k2r/1p1nqpbp/p2p1np1/2pP4/5Q2/P1N1P1PP/1P2NPB1/R1B2RK1 b k - 6 14,vssf_2700,0,1.129,0.0,1.11,0.26,quiet,0,0,0,0,
8/P7/2p5/4p1k1/2p5/8/5P2/4K3 b - - 0 55,vssf1_win_d8,128,-0.587,0.0,2.59,0.63,quiet,0,0,0,0,
